Time	Sum	Command
198	198	----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
109	109	----> set_color -b $bg
91	91	----> set_color $current_bg
85	85	----> echo -n "$segment_separator "
85	85	----> set_color -b $bg
87	87	----> set_color $fg
94	94	---> set current_bg $argv[1]
32	210	---> if [ -n "$argv[3]" ]...
86	86	----> [ -n "$argv[3]" ]
92	92	----> echo -n -s $argv[3] " "
196	53176	-> __exists hg
52980	52980	--> command -v "$name" ^/dev/null >&2
715	1748701	-> and prompt_hg
132	132	--> set -l branch
104	104	--> set -l state
56	1747750	--> if command hg id >/dev/null 2>&1...
1747694	1747694	---> command hg id >/dev/null 2>&1
286	54428	-> __exists git
54142	54142	--> command -v "$name" ^/dev/null >&2
1523	2656956	-> and prompt_git
281	281	--> set -l ref
133	2655152	--> if command git rev-parse --is-inside-work-tree >/dev/null 2>&1...
344633	344633	---> command git rev-parse --is-inside-work-tree >/dev/null 2>&1
959	337569	---> set ref (command git symbolic-ref HEAD 2> /dev/null)
336610	336610	----> command git symbolic-ref HEAD 2> /dev/null
33	167	---> if [ $status -gt 0 ]...
134	134	----> [ $status -gt 0 ]
156643	156643	---> set branch_symbol \uE0A0
738	142158	---> set -l branch (echo $ref | sed  "s-refs/heads/-$branch_symbol -")
141420	141420	----> echo $ref | sed  "s-refs/heads/-$branch_symbol -"
85	85	---> set -l BG PROMPT
891	442009	---> set -l dirty (command git status --porcelain --ignore-submodules=dirty 2> /dev/null)
441118	441118	----> command git status --porcelain --ignore-submodules=dirty 2> /dev/null
211	1228398	---> if [ "$dirty" = "" ]...
117	117	----> [ "$dirty" = "" ]
89	89	----> set BG yellow
82	82	----> set dirty ''
75	75	----> set -l empty 0
338440	338440	----> git rev-parse --quiet --verify HEAD > /dev/null ^&1
133	133	----> set -l target
101	368414	----> if [ $empty = 1 ]...
128	128	-----> [ $empty = 1 ]
135	135	-----> set target 'HEAD'
109	109	-----> set -l unstaged 0
367592	367592	-----> git diff --no-ext-diff --ignore-submodules=dirty --quiet --exit-code
112	112	-----> or set unstaged 1
46	237	-----> if [ $unstaged = 1 ]...
98	98	------> [ $unstaged = 1 ]
93	93	------> set dirty $dirty'●'
77	77	----> set -l staged 0
381527	381527	----> git diff-index --cached --quiet --exit-code --ignore-submodules=dirty $target
41	188	----> if [ $staged = 1 ]...
147	147	-----> [ $staged = 1 ]
62	139045	----> if [ "$dirty" = "" ]...
175	175	-----> [ "$dirty" = "" ]
138808	138808	-----> set PROMPT "$branch $dirty"
1078	3357	---> prompt_segment $BG black $PROMPT
146	146	----> set -l bg
149	149	----> set -l fg
82	676	----> if [ -n "$argv[1]" ]...
315	315	-----> [ -n "$argv[1]" ]
279	279	-----> set bg $argv[1]
74	294	----> if [ -n "$argv[2]" ]...
123	123	-----> [ -n "$argv[2]" ]
97	97	-----> set fg $argv[2]
91	700	----> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
154	154	-----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
94	94	-----> set_color -b $bg
88	88	-----> set_color $current_bg
110	110	-----> echo -n "$segment_separator "
81	81	-----> set_color -b $bg
82	82	-----> set_color $fg
100	100	----> set current_bg $argv[1]
33	214	----> if [ -n "$argv[3]" ]...
86	86	-----> [ -n "$argv[3]" ]
95	95	-----> echo -n -s $argv[3] " "
193	53425	-> __exists svn
53232	53232	--> command -v "$name" ^/dev/null >&2
400	253739	-> and prompt_svn
104	104	--> set -l ref
54	253235	--> if command svn ls . >/dev/null 2>&1...
253181	253181	---> command svn ls . >/dev/null 2>&1
400	1183	-> prompt_finish
73	576	--> if [ -n $current_bg ]...
143	143	---> [ -n $current_bg ]
122	122	---> set_color -b normal
121	121	---> set_color $current_bg
117	117	---> echo -n "$segment_separator "
98	98	--> set_color normal
109	109	--> set -g current_bg NONE
162	162	> echo $_ " "
251	273140	> __fish_pwd
272889	272889	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
108	2325	> __fish_disable_bracketed_paste cd
2217	2217	-> printf "\e[?2004l"
120	120	> echo $_ " "
162	143043	> __fish_pwd
142881	142881	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
4254	151654	> cd
3509	3617	-> source /usr/share/fish/functions/cd.fish
108	108	--> function cd --description "Change directory"...
63	63	-> set -l MAX_DIR_HIST 25
25	2794	-> if test (count $argv) -gt 1...
649	2769	--> test (count $argv) -gt 1
2120	2120	---> count $argv
30	2391	-> if status --is-command-substitution...
2361	2361	--> status --is-command-substitution
80	80	-> set -l previous $PWD
25	90	-> if test "$argv" = "-"...
65	65	--> test "$argv" = "-"
736	137761	-> builtin cd $argv
116	137025	--> __z_on_variable_pwd VARIABLE SET PWD
776	136909	---> __z_add
134105	136133	----> for i in $Z_EXCLUDE...
37	2028	-----> if contains -- $PWD $i...
1967	1967	------> contains -- $PWD $i
24	24	------> return 0
73	73	-> set -l cd_status $status
93	499	-> if test $cd_status -eq 0 -a "$PWD" != "$previous"...
117	117	--> test $cd_status -eq 0 -a "$PWD" != "$previous"
38	38	--> set -q dirprev
42	42	--> or set -l dirprev
52	52	--> set -q dirprev[$MAX_DIR_HIST]
63	63	--> set -g dirprev $dirprev $previous
39	39	--> set -e dirnext
55	55	--> set -g __fish_cd_direction prev
32	32	-> return $cd_status
77	147	> __fish_enable_bracketed_paste
70	70	-> printf "\e[?2004h"
330	6597	> fish_mode_prompt
37	6267	-> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
128	128	--> test "$fish_key_bindings" = "fish_vi_key_bindings"
50	6102	--> switch $fish_bind_mode...
604	6052	---> prompt_segment green black "I"
84	84	----> set -l bg
69	69	----> set -l fg
40	2270	----> if [ -n "$argv[1]" ]...
2108	2108	-----> [ -n "$argv[1]" ]
122	122	-----> set bg $argv[1]
34	217	----> if [ -n "$argv[2]" ]...
91	91	-----> [ -n "$argv[2]" ]
92	92	-----> set fg $argv[2]
57	2490	----> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
149	149	-----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
2117	2117	-----> set_color -b $bg
93	93	-----> set_color $fg
74	74	-----> echo -n " "
105	105	----> set current_bg $argv[1]
35	213	----> if [ -n "$argv[3]" ]...
88	88	-----> [ -n "$argv[3]" ]
90	90	-----> echo -n -s $argv[3] " "
388	5001148	> fish_prompt
108	108	-> set -g RETVAL $status
394	395001	-> prompt_status
22	107	--> if [ $RETVAL -ne 0 ]...
85	85	---> [ $RETVAL -ne 0 ]
1319	97659	--> set -l uid (id -u $USER)
96340	96340	---> id -u $USER
35	164	--> if [ $uid -eq 0 ]...
129	129	---> [ $uid -eq 0 ]
36	296677	--> if [ (jobs -l | wc -l) -gt 0 ]...
1002	296641	---> [ (jobs -l | wc -l) -gt 0 ]
295639	295639	----> jobs -l | wc -l
262	136136	-> prompt_virtual_env
37	135874	--> if test "$VIRTUAL_ENV"...
135837	135837	---> test "$VIRTUAL_ENV"
527	1456	-> prompt_user
96	96	--> set -l BG 444444
74	74	--> set -l FG BCBCBC
37	759	--> if [ "$theme_display_user" = "yes" ]...
101	101	---> [ "$theme_display_user" = "yes" ]
227	530	---> get_hostname
87	87	----> set -g HOSTNAME_PROMPT ""
22	216	----> if [ "$theme_hostname" = "always" -o \( "$theme_hostname" != "never" -a -n "$SSH_CLIENT" \) ]...
194	194	-----> [ "$theme_hostname" = "always" -o \( "$theme_hostname" != "never" -a -n "$SSH_CLIENT" \) ]
22	91	---> if [ $HOSTNAME_PROMPT ]...
69	69	----> [ $HOSTNAME_PROMPT ]
113	9839	-> prompt_dir
1177	9726	--> prompt_segment 1C1C1C FFFFFF (prompt_pwd)
2815	7028	---> prompt_pwd
288	288	----> set -l options 'h/help'
2237	2237	----> argparse -n prompt_pwd --max-args=0 $options -- $argv
26	97	----> if set -q _flag_help...
71	71	-----> set -q _flag_help
60	60	----> set -q fish_prompt_pwd_dir_length
77	77	----> or set -l fish_prompt_pwd_dir_length 1
306	306	----> set realhome ~
723	886	----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
163	163	-----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
36	262	----> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
90	90	-----> [ $fish_prompt_pwd_dir_length -eq 0 ]
136	136	-----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
81	81	---> set -l bg
67	67	---> set -l fg
33	213	---> if [ -n "$argv[1]" ]...
91	91	----> [ -n "$argv[1]" ]
89	89	----> set bg $argv[1]
33	210	---> if [ -n "$argv[2]" ]...
89	89	----> [ -n "$argv[2]" ]
88	88	----> set fg $argv[2]
69	650	---> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
146	146	----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
95	95	----> set_color -b $bg
87	87	----> set_color $current_bg
83	83	----> echo -n "$segment_separator "
84	84	----> set_color -b $bg
86	86	----> set_color $fg
91	91	---> set current_bg $argv[1]
33	209	---> if [ -n "$argv[3]" ]...
82	82	----> [ -n "$argv[3]" ]
94	94	----> echo -n -s $argv[3] " "
176	43403	-> __exists hg
43227	43227	--> command -v "$name" ^/dev/null >&2
623	1626584	-> and prompt_hg
161	161	--> set -l branch
118	118	--> set -l state
47	1625682	--> if command hg id >/dev/null 2>&1...
1625635	1625635	---> command hg id >/dev/null 2>&1
204	53674	-> __exists git
53470	53470	--> command -v "$name" ^/dev/null >&2
1146	2457901	-> and prompt_git
2779	2779	--> set -l ref
210	2453976	--> if command git rev-parse --is-inside-work-tree >/dev/null 2>&1...
325446	325446	---> command git rev-parse --is-inside-work-tree >/dev/null 2>&1
849	313343	---> set ref (command git symbolic-ref HEAD 2> /dev/null)
312494	312494	----> command git symbolic-ref HEAD 2> /dev/null
27	128	---> if [ $status -gt 0 ]...
101	101	----> [ $status -gt 0 ]
131879	131879	---> set branch_symbol \uE0A0
841	136090	---> set -l branch (echo $ref | sed  "s-refs/heads/-$branch_symbol -")
135249	135249	----> echo $ref | sed  "s-refs/heads/-$branch_symbol -"
116	116	---> set -l BG PROMPT
1387	417417	---> set -l dirty (command git status --porcelain --ignore-submodules=dirty 2> /dev/null)
416030	416030	----> command git status --porcelain --ignore-submodules=dirty 2> /dev/null
214	1126438	---> if [ "$dirty" = "" ]...
180	180	----> [ "$dirty" = "" ]
106	106	----> set BG yellow
104	104	----> set dirty ''
101	101	----> set -l empty 0
310344	310344	----> git rev-parse --quiet --verify HEAD > /dev/null ^&1
141	141	----> set -l target
97	314874	----> if [ $empty = 1 ]...
92	92	-----> [ $empty = 1 ]
85	85	-----> set target 'HEAD'
73	73	-----> set -l unstaged 0
314182	314182	-----> git diff --no-ext-diff --ignore-submodules=dirty --quiet --exit-code
112	112	-----> or set unstaged 1
45	233	-----> if [ $unstaged = 1 ]...
95	95	------> [ $unstaged = 1 ]
93	93	------> set dirty $dirty'●'
79	79	----> set -l staged 0
366275	366275	----> git diff-index --cached --quiet --exit-code --ignore-submodules=dirty $target
53	169	----> if [ $staged = 1 ]...
116	116	-----> [ $staged = 1 ]
41	133851	----> if [ "$dirty" = "" ]...
96	96	-----> [ "$dirty" = "" ]
133714	133714	-----> set PROMPT "$branch $dirty"
703	2909	---> prompt_segment $BG black $PROMPT
108	108	----> set -l bg
67	67	----> set -l fg
47	326	----> if [ -n "$argv[1]" ]...
124	124	-----> [ -n "$argv[1]" ]
155	155	-----> set bg $argv[1]
72	564	----> if [ -n "$argv[2]" ]...
230	230	-----> [ -n "$argv[2]" ]
262	262	-----> set fg $argv[2]
125	837	----> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
197	197	-----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
138	138	-----> set_color -b $bg
121	121	-----> set_color $current_bg
92	92	-----> echo -n "$segment_separator "
82	82	-----> set_color -b $bg
82	82	-----> set_color $fg
96	96	----> set current_bg $argv[1]
32	208	----> if [ -n "$argv[3]" ]...
84	84	-----> [ -n "$argv[3]" ]
92	92	-----> echo -n -s $argv[3] " "
206	54068	-> __exists svn
53862	53862	--> command -v "$name" ^/dev/null >&2
304	221718	-> and prompt_svn
90	90	--> set -l ref
45	221324	--> if command svn ls . >/dev/null 2>&1...
221279	221279	---> command svn ls . >/dev/null 2>&1
274	872	-> prompt_finish
56	444	--> if [ -n $current_bg ]...
113	113	---> [ -n $current_bg ]
94	94	---> set_color -b normal
92	92	---> set_color $current_bg
89	89	---> echo -n "$segment_separator "
71	71	--> set_color normal
83	83	--> set -g current_bg NONE
117	117	> echo $_ " "
3382	273221	> __fish_pwd
269839	269839	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
103	182	> __fish_disable_bracketed_paste ls
79	79	-> printf "\e[?2004l"
122	122	> echo $_ " "
192	135735	> __fish_pwd
135543	135543	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
4289	469746	> ls
88	88	-> set -l param --color=auto
42	233119	-> if isatty 1...
2659	232981	--> isatty 1
78	78	---> set -l options 'h/help'
117	117	---> argparse -n isatty $options -- $argv
36	137059	---> if set -q _flag_help...
137023	137023	----> set -q _flag_help
28	90	---> if set -q argv[2]...
62	62	----> set -q argv[2]
49	49	---> set -l fd
84	144	---> switch "$argv"...
60	60	----> set fd $argv[1]
92785	92785	---> command test -t "$fd"
96	96	--> set param $param --indicator-style=classify
232250	232250	-> command ls $param $argv
87	169	> __fish_enable_bracketed_paste
82	82	-> printf "\e[?2004h"
321	170042	> fish_mode_prompt
42	169721	-> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
167656	167656	--> test "$fish_key_bindings" = "fish_vi_key_bindings"
57	2023	--> switch $fish_bind_mode...
632	1966	---> prompt_segment green black "I"
89	89	----> set -l bg
72	72	----> set -l fg
34	222	----> if [ -n "$argv[1]" ]...
96	96	-----> [ -n "$argv[1]" ]
92	92	-----> set bg $argv[1]
32	204	----> if [ -n "$argv[2]" ]...
84	84	-----> [ -n "$argv[2]" ]
88	88	-----> set fg $argv[2]
54	455	----> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
152	152	-----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
95	95	-----> set_color -b $bg
84	84	-----> set_color $fg
70	70	-----> echo -n " "
90	90	----> set current_bg $argv[1]
32	202	----> if [ -n "$argv[3]" ]...
82	82	-----> [ -n "$argv[3]" ]
88	88	-----> echo -n -s $argv[3] " "
382	4972468	> fish_prompt
105	105	-> set -g RETVAL $status
353	371120	-> prompt_status
22	112	--> if [ $RETVAL -ne 0 ]...
90	90	---> [ $RETVAL -ne 0 ]
715	95123	--> set -l uid (id -u $USER)
94408	94408	---> id -u $USER
33	162	--> if [ $uid -eq 0 ]...
129	129	---> [ $uid -eq 0 ]
28	275370	--> if [ (jobs -l | wc -l) -gt 0 ]...
840	275342	---> [ (jobs -l | wc -l) -gt 0 ]
274502	274502	----> jobs -l | wc -l
185	135337	-> prompt_virtual_env
30	135152	--> if test "$VIRTUAL_ENV"...
135122	135122	---> test "$VIRTUAL_ENV"
581	1828	-> prompt_user
149	149	--> set -l BG 444444
135	135	--> set -l FG BCBCBC
41	963	--> if [ "$theme_display_user" = "yes" ]...
112	112	---> [ "$theme_display_user" = "yes" ]
279	680	---> get_hostname
100	100	----> set -g HOSTNAME_PROMPT ""
30	301	----> if [ "$theme_hostname" = "always" -o \( "$theme_hostname" != "never" -a -n "$SSH_CLIENT" \) ]...
271	271	-----> [ "$theme_hostname" = "always" -o \( "$theme_hostname" != "never" -a -n "$SSH_CLIENT" \) ]
28	130	---> if [ $HOSTNAME_PROMPT ]...
102	102	----> [ $HOSTNAME_PROMPT ]
224	7854	-> prompt_dir
1698	7630	--> prompt_segment 1C1C1C FFFFFF (prompt_pwd)
508	4390	---> prompt_pwd
119	119	----> set -l options 'h/help'
120	120	----> argparse -n prompt_pwd --max-args=0 $options -- $argv
24	87	----> if set -q _flag_help...
63	63	-----> set -q _flag_help
59	59	----> set -q fish_prompt_pwd_dir_length
75	75	----> or set -l fish_prompt_pwd_dir_length 1
433	433	----> set realhome ~
647	2718	----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
2071	2071	-----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
37	271	----> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
94	94	-----> [ $fish_prompt_pwd_dir_length -eq 0 ]
140	140	-----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
84	84	---> set -l bg
70	70	---> set -l fg
40	223	---> if [ -n "$argv[1]" ]...
92	92	----> [ -n "$argv[1]" ]
91	91	----> set bg $argv[1]
31	206	---> if [ -n "$argv[2]" ]...
86	86	----> [ -n "$argv[2]" ]
89	89	----> set fg $argv[2]
71	656	---> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
147	147	----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
95	95	----> set_color -b $bg
90	90	----> set_color $current_bg
82	82	----> echo -n "$segment_separator "
85	85	----> set_color -b $bg
86	86	----> set_color $fg
92	92	---> set current_bg $argv[1]
38	211	---> if [ -n "$argv[3]" ]...
85	85	----> [ -n "$argv[3]" ]
88	88	----> echo -n -s $argv[3] " "
177	52946	-> __exists hg
52769	52769	--> command -v "$name" ^/dev/null >&2
532	1645115	-> and prompt_hg
94	94	--> set -l branch
87	87	--> set -l state
52	1644402	--> if command hg id >/dev/null 2>&1...
1644350	1644350	---> command hg id >/dev/null 2>&1
248	51848	-> __exists git
51600	51600	--> command -v "$name" ^/dev/null >&2
1105	2415291	-> and prompt_git
95	95	--> set -l ref
135	2414091	--> if command git rev-parse --is-inside-work-tree >/dev/null 2>&1...
300232	300232	---> command git rev-parse --is-inside-work-tree >/dev/null 2>&1
830	309431	---> set ref (command git symbolic-ref HEAD 2> /dev/null)
308601	308601	----> command git symbolic-ref HEAD 2> /dev/null
65	232	---> if [ $status -gt 0 ]...
167	167	----> [ $status -gt 0 ]
161947	161947	---> set branch_symbol \uE0A0
762	133057	---> set -l branch (echo $ref | sed  "s-refs/heads/-$branch_symbol -")
132295	132295	----> echo $ref | sed  "s-refs/heads/-$branch_symbol -"
108	108	---> set -l BG PROMPT
1169	397152	---> set -l dirty (command git status --porcelain --ignore-submodules=dirty 2> /dev/null)
395983	395983	----> command git status --porcelain --ignore-submodules=dirty 2> /dev/null
182	1109082	---> if [ "$dirty" = "" ]...
136	136	----> [ "$dirty" = "" ]
78	78	----> set BG yellow
78	78	----> set dirty ''
71	71	----> set -l empty 0
303056	303056	----> git rev-parse --quiet --verify HEAD > /dev/null ^&1
102	102	----> set -l target
95	342330	----> if [ $empty = 1 ]...
92	92	-----> [ $empty = 1 ]
86	86	-----> set target 'HEAD'
72	72	-----> set -l unstaged 0
341633	341633	-----> git diff --no-ext-diff --ignore-submodules=dirty --quiet --exit-code
114	114	-----> or set unstaged 1
38	238	-----> if [ $unstaged = 1 ]...
105	105	------> [ $unstaged = 1 ]
95	95	------> set dirty $dirty'●'
87	87	----> set -l staged 0
325610	325610	----> git diff-index --cached --quiet --exit-code --ignore-submodules=dirty $target
31	142	----> if [ $staged = 1 ]...
111	111	-----> [ $staged = 1 ]
41	137210	----> if [ "$dirty" = "" ]...
93	93	-----> [ "$dirty" = "" ]
137076	137076	-----> set PROMPT "$branch $dirty"
681	2715	---> prompt_segment $BG black $PROMPT
117	117	----> set -l bg
86	86	----> set -l fg
37	231	----> if [ -n "$argv[1]" ]...
96	96	-----> [ -n "$argv[1]" ]
98	98	-----> set bg $argv[1]
88	396	----> if [ -n "$argv[2]" ]...
121	121	-----> [ -n "$argv[2]" ]
187	187	-----> set fg $argv[2]
82	899	----> if [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]...
343	343	-----> [ "$current_bg" != 'NONE' -a "$argv[1]" != "$current_bg" ]
111	111	-----> set_color -b $bg
114	114	-----> set_color $current_bg
86	86	-----> echo -n "$segment_separator "
83	83	-----> set_color -b $bg
80	80	-----> set_color $fg
94	94	----> set current_bg $argv[1]
33	211	----> if [ -n "$argv[3]" ]...
84	84	-----> [ -n "$argv[3]" ]
94	94	-----> echo -n -s $argv[3] " "
176	53113	-> __exists svn
52937	52937	--> command -v "$name" ^/dev/null >&2
320	236625	-> and prompt_svn
91	91	--> set -l ref
45	236214	--> if command svn ls . >/dev/null 2>&1...
236169	236169	---> command svn ls . >/dev/null 2>&1
274	904	-> prompt_finish
55	483	--> if [ -n $current_bg ]...
103	103	---> [ -n $current_bg ]
136	136	---> set_color -b normal
101	101	---> set_color $current_bg
88	88	---> echo -n "$segment_separator "
68	68	--> set_color normal
79	79	--> set -g current_bg NONE
107	107	> echo $_ " "
160	271606	> __fish_pwd
271446	271446	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
3766	1828150	> source /home/17411/.config/fish/completions/fisher.fish
1533	1824384	-> fisher complete
2101	2101	--> set -q XDG_CACHE_HOME
334	334	--> or set XDG_CACHE_HOME ~/.cache
66	66	--> set -q XDG_CONFIG_HOME
294	294	--> or set XDG_CONFIG_HOME ~/.config
99	99	--> set -g fish_config $XDG_CONFIG_HOME/fish
93	93	--> set -g fisher_cache $XDG_CACHE_HOME/fisher
321	321	--> set -g fisher_config $XDG_CONFIG_HOME/fisher
68	68	--> set -q fisher_path
90	90	--> set -g fishfile $fish_config/fishfile
211	3210	--> for path in {$fish_config,$fisher_path}/{functions,completions,conf.d} $fisher_cache...
26	355	---> if test ! -d $path...
329	329	----> test ! -d $path
25	346	---> if test ! -d $path...
321	321	----> test ! -d $path
26	341	---> if test ! -d $path...
315	315	----> test ! -d $path
25	346	---> if test ! -d $path...
321	321	----> test ! -d $path
34	372	---> if test ! -d $path...
338	338	----> test ! -d $path
34	856	---> if test ! -d $path...
822	822	----> test ! -d $path
26	383	---> if test ! -d $path...
357	357	----> test ! -d $path
27	357	--> if test ! -e $fisher_path/completions/fisher.fish...
330	330	---> test ! -e $fisher_path/completions/fisher.fish
30	614	--> if test -e $fisher_path/conf.d/fisher.fish...
519	519	---> test -e $fisher_path/conf.d/fisher.fish
65	65	---> switch "$version"...
36	686	--> if test -e "$fisher_path/fishfile"...
320	320	---> test -e "$fisher_path/fishfile"
330	330	---> and test ! -e "$fishfile"
79	1814518	--> switch "$cmd"...
2528	1814439	---> _fisher_complete
2035	2035	----> complete -ec fisher
133	133	----> complete -xc fisher -n __fish_use_subcommand -a add -d "Add packages"
115	115	----> complete -xc fisher -n __fish_use_subcommand -a rm -d "Remove packages"
121	121	----> complete -xc fisher -n __fish_use_subcommand -a ls -d "List installed packages matching REGEX"
110	110	----> complete -xc fisher -n __fish_use_subcommand -a --help -d "Show usage help"
121	121	----> complete -xc fisher -n __fish_use_subcommand -a --version -d "$fisher_version"
109	109	----> complete -xc fisher -n __fish_use_subcommand -a self-update -d "Update to the latest version"
1178	1809167	----> for pkg in (fisher ls)...
1593	1807096	-----> fisher ls
83	83	------> set -q XDG_CACHE_HOME
339	339	------> or set XDG_CACHE_HOME ~/.cache
64	64	------> set -q XDG_CONFIG_HOME
328	328	------> or set XDG_CONFIG_HOME ~/.config
98	98	------> set -g fish_config $XDG_CONFIG_HOME/fish
91	91	------> set -g fisher_cache $XDG_CACHE_HOME/fisher
89	89	------> set -g fisher_config $XDG_CONFIG_HOME/fisher
56	56	------> set -q fisher_path
87	87	------> set -g fishfile $fish_config/fishfile
201	2629	------> for path in {$fish_config,$fisher_path}/{functions,completions,conf.d} $fisher_cache...
25	362	-------> if test ! -d $path...
337	337	--------> test ! -d $path
26	343	-------> if test ! -d $path...
317	317	--------> test ! -d $path
27	344	-------> if test ! -d $path...
317	317	--------> test ! -d $path
26	371	-------> if test ! -d $path...
345	345	--------> test ! -d $path
26	332	-------> if test ! -d $path...
306	306	--------> test ! -d $path
25	329	-------> if test ! -d $path...
304	304	--------> test ! -d $path
25	347	-------> if test ! -d $path...
322	322	--------> test ! -d $path
27	579	------> if test ! -e $fisher_path/completions/fisher.fish...
552	552	-------> test ! -e $fisher_path/completions/fisher.fish
32	476	------> if test -e $fisher_path/conf.d/fisher.fish...
382	382	-------> test -e $fisher_path/conf.d/fisher.fish
62	62	-------> switch "$version"...
42	711	------> if test -e "$fisher_path/fishfile"...
318	318	-------> test -e "$fisher_path/fishfile"
351	351	-------> and test ! -e "$fishfile"
103	1799873	------> switch "$cmd"...
146	146	-------> set -e argv[1]
110	1799624	-------> if test -s "$fishfile"...
1109	1109	--------> test -s "$fishfile"
1015	703589	--------> set -l file (_fisher_fmt <$fishfile | _fisher_parse -R | command sed "s|@.*||")
313446	702574	---------> _fisher_fmt <$fishfile | _fisher_parse -R | command sed "s|@.*||"
100977	100977	----------> command sed "s|^[[:space:]]*||;s|^$fisher_config/||;s|^~|$HOME|;s|^\.\/*|$PWD/|;s|^https*:/*||;s|^github\.com/||;s|/*\$||"
123	123	----------> set -e argv[1..2]
288028	288028	----------> command awk -v FS="[[:space:]]*#+" -v MODE="$mode" -v CMD="$cmd" -v ARGSTR="$argv" '
        BEGIN {
            for (n = split(ARGSTR, a, " "); i++ < n;) pkgs[getkey(a[i])] = a[i]
        }
        !NF { next } { k = getkey($1) }
        MODE == "-R" && !(k in pkgs) && $0 = $1
        MODE == "-W" && (/^#/ || k in pkgs || CMD != "rm") { print pkgs[k] (sub($1, "") ? $0 : "") }
        MODE == "-W" || CMD == "rm" { delete pkgs[k] }
        END {
            for (k in pkgs) {
                if (CMD != "rm" || MODE == "-W") print pkgs[k]
                else print "fisher: cannot remove \""k"\" -- package is not in fishfile" > "/dev/stderr"
            }
        }
        function getkey(s,  a) {
            return (split(s, a, /@+|:/) > 2) ? a[2]"/"a[1]"/"a[3] : a[1]
        }
    '
361811	1094816	--------> _fisher_ls | _fisher_fmt | command awk -v FILE="$file" "
                    BEGIN { for (n = split(FILE, f); ++i <= n;) file[f[i]] } \$0 in file && /$argv[1]/
                " | command sed "s|^$HOME|~|"
5510	499697	---------> for pkg in $fisher_config/*/*/*...
258469	258469	----------> command readlink $pkg
3154	3154	----------> or echo $pkg
232439	232439	----------> command readlink $pkg
125	125	----------> or echo $pkg
233308	233308	---------> command sed "s|^[[:space:]]*||;s|^$fisher_config/||;s|^~|$HOME|;s|^\.\/*|$PWD/|;s|^https*:/*||;s|^github\.com/||;s|/*\$||"
294	294	-----> complete -xc fisher -n "__fish_seen_subcommand_from rm" -a $pkg
599	599	-----> complete -xc fisher -n "__fish_seen_subcommand_from rm" -a $pkg
127	2477	> __fish_disable_bracketed_paste fisher\ ls\ \[a-z\]\\\*
2350	2350	-> printf "\e[?2004l"
128	128	> echo $_ " "
2066	140070	> __fish_pwd
138004	138004	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
1957	1979115	> fisher ls [a-z]\*
158790	158790	-> set -q XDG_CACHE_HOME
362	362	-> or set XDG_CACHE_HOME ~/.cache
42	42	-> set -q XDG_CONFIG_HOME
273	273	-> or set XDG_CONFIG_HOME ~/.config
73	73	-> set -g fish_config $XDG_CONFIG_HOME/fish
64	64	-> set -g fisher_cache $XDG_CACHE_HOME/fisher
62	62	-> set -g fisher_config $XDG_CONFIG_HOME/fisher
33	33	-> set -q fisher_path
59	59	-> set -g fishfile $fish_config/fishfile
226	4367	-> for path in {$fish_config,$fisher_path}/{functions,completions,conf.d} $fisher_cache...
29	2320	--> if test ! -d $path...
2291	2291	---> test ! -d $path
